S1 {P1=1, P2=2, P3=3, P4=4}
S2 {P3=4, P4=3, P4=2, P6=1}
S3 {P1=4, P3=2, P4=1, P6=3}
S4 {P2=1, P3=2, P4=3, P5=4}
S5 {P1=2, P2=1, P3=3, P4=4}
S6 {P1=1, P2=3, P3=2, P4=4}
S7 {P1=2, P2=3, P5=4, P6=1}
S8 {P1=3, P2=2, P3=4, P5=1}
S9 {P3=2, P4=3, P5=4, P6=1}
S10 {P2=2, P3=1, P4=4, P5=3}
S11 {P1=4, P2=1, P3=2, P4=3}
S12 {P2=1, P3=2, P4=3, P5=5}
S13 {P3=1, P4=4, P5=3, P6=2}
S14 {P2=4, P3=3, P4=2, P5=1}
S15 {P1=3, P2=1, P4=4, P5=2}
S16 {P2=4, P3=3, P4=2, P5=1}
S17 {P3=2, P4=3, P5=4, P6=1}
S18 {P1=1, P2=3, P3=4, P6=2}
S19 {P1=1, P2=2, P3=3, P4=4}
S20 {P2=1, P3=3, P5=4, P6=2}
